word,syllable_count,frequency,pos,etymology_origin,tone_pattern,file_sources
Trung Quốc,2,50,n,sino_vietnamese,falling-rising tone on 'Quốc',multiple
giữa,1,50,d,native_vietnamese,falling_tone,multiple
tiếng Trung,2,50,n,sino_vietnamese,low then mid,multiple
trưa,1,15,n,sino_vietnamese,low_rising,multiple
trung học,2,50,n,sino_vietnamese,low_rising,multiple
học sinh trung học,4,30,n,sino_vietnamese,low_rising,multiple
nặng,1,50,a,sino_vietnamese,low_rising,multiple
quan trọng,2,25,a,sino_vietnamese,low falling - mid rising,multiple
ở,1,50,v,sino_vietnamese,low_rising,multiple
chuẩn bị,2,50,v,sino_vietnamese,low_tone,multiple
bàn,1,50,n,sino_vietnamese,high_level,multiple
bàn,1,15,n,sino_vietnamese,low_rising,multiple
chữ,1,50,n,native_vietnamese,low_rising,multiple
con,1,50,n,native_vietnamese,low_rising,multiple
con,1,50,n,sino_vietnamese,high_level,multiple
đi,1,50,v,sino_vietnamese,falling,multiple
đi bộ,2,45,v,sino_vietnamese,low_rising,multiple
nhất,1,50,m,sino_vietnamese,falling,multiple
tốt nhất,2,25,a,sino_vietnamese,low_rising,multiple
cuối cùng,2,45,n,sino_vietnamese,low_rising_falling,multiple
hôm qua,2,50,n,sino_vietnamese,falling_tone,multiple
trái,1,50,n,sino_vietnamese,low_rising,multiple
trái,1,15,n,sino_vietnamese,low_rising,multiple
ngồi,1,15,v,sino_vietnamese,low_rising,multiple
ngồi xuống,2,45,v,sino_vietnamese,low falling,multiple
làm,1,50,v,sino_vietnamese,falling,multiple
